	NOM	AKK	DAT	GEN	INSTR	LOC	GEN-s	DAT-s	AKK-s
1s	ja	mnje	mni	mnje	mnu	mni	mje	mi	mje
2s	ty	tebje	tebi	tebje	tobu	tebi	će	ći	će
3s v	wón	njeho	njemu	njeho	nim	nim	jeho	jemu	jeho
3s i	wón	njón	njemu	njeho	nim	nim	jeho	jemu	jón
3s f	wona	nju	njej	njeje	njej	njej	jeje	jej	ju
3s n	wono	njo	njemu	njeho	nim	nim	jeho	jemu	jo
rs	-	sebje	sebi	sebje	sobu	sebi	so	sej	so	
1p	my	nas	nam	nas	nami	nas	nas	nam	nas
2p	wy	was	wam	was	wami	was	was	wam	was
3p v	woni	nich	nim	nich	nimi	nich	jich	jim	jich
3p i	wone	nie	nim	nich	nimi	nich	jich	Jim	je
1d	mój	naju	namaj	naju	namaj	namaj	naju	namaj	naju
2d	wój	waju	wamaj	waju	wamaj	wamaj	waju	wamaj	waju
3d v	wonaj	njeju	nimaj	jeju	nimaj	nimaj	jeju	jimaj	jeju
3d i	wonej	njej	nimaj	jeju	nimaj	nimaj	jeju	jimaj	jej
