1s	ʔa-12u3	1a23-aaku	ʔa-1a22a3	ʔa-1ta2a3
2s m	ta-12u3	1a23-aata	ta-1a22a3	ta-1ta2a3
2s f	ta-12u3-ii	1a23-aati	ta-1a22a3-ii	ta-1ta23-ii
3s m	i-12u3	1a2i3	i-1a22a3	i-1ta2a3
3s f	i-12u3	1a23-at	i-1a22a3	i-1ta2a3
1p	ni-12u3	1a23-aanu	ni-1a22a3	ni-1ta2a3
2p m	ta-12u3-aa	1a23-aatunu	ta-1a22a3-aa	ta-1ta23-aa
2p f	ta-12u3-aa	1a23-aatina	ta-1a22a3-aa	ta-1ta23-aa
3p m	i-12u3-uu	1a23-uu	i-1a22a3-uu	i-1ta23-uu
3p f	i-12u3-aa	1a23-aa	i-1a22a3-aa	i-1ta23-aa
1d	ni-12u3	1a23-aanu	ni-1a22a3	ni-1ta2a3
2d	ta-12u3-aa	1a23-aatunu	ta-1a22a3-aa	ta-1ta23-aa
3d	i-12u3-aa	1a23-aa	i-1a22a3-aa	i-1ta23-aa
